611592417,NO COMENT,1
611592417,Lama banget; tumben Unilever slow respon; tolong di tingkatkan,1
611592417,paket tidak saya terima; saya kecewa karena paket tidak dikirimkan ke saya; namun salah kirim ke perumahan lain. soalnya yang menerima paket juga info ke saya; ada bukti nya via WA,1
611592417,minta dicancel; chat sudah dibaca tpi tetap di proses tanpa dibales chat saya :),1
611592417,Lamban sekali pengiriman nya,1
611592417,Packaging yg dilakukan oleh pihak penjual sangat mengecewakan sehingga barang orderan mengalami kerusakan saat pengiriman. Proses Komplain memakan waktu sangat lama.,1
611592417,Pengiriman dr kurir lama,1
611592417,Beli apa yg dikirim malah pepsodent..nextnya tolong dicek lagi orderannya;jgn sembarang kirim..ga semua orang mau kirim balik buat tuker barang..termasuk saya,1
611592417,Lama dalm pengirimannn. Kecewa! Sampe beli lagi ditempat lain. Malah lebh cepet sampe,1
611592417,,1
725805942,Pengiriman lamaaa banget banget bangett; melebihi dari tenggat waktu pengiriman.. respon lambat dan tracking tidak jelas.. Sampenya barang juga penyok2.. sangat tidak membantu kita yg lagi isoman!! Kapok belanja di official storenya ini!!,1
725805942,saya dibohongi;saya diinfo barang sudah dikirim tapi setelah saya ajukan komplain penjual baru bilang barang ternyata belum dikirim. Pengiriman tidak sesuai estimasi yg dijanjikan (pengirimannya lama banget)!!,1
725805942,Barang lama banget dtgnya,1
725805942,Pesan tgl 7mei sampai tgl 16mei.MANTAP,1
725805942,Br kali ini saya pesen dr tgl 9 mei tgl 16 br sampai..packingan tdk rapi. Pengiriman sangat lama..itupun saya harus fu terus dan tdk ada jwbn. Pesan tgl 9 tp br dikirim tgl 15,1
725805942,Ngirimnya lama banget,1
725805942,,1
725805942,,1
725805942,,1
725805942,,1
989697076,barang yg dipesan tidak sama dg yg dikirim; mana hrg pada saat sy beli yg dikirim hrgnya lebih murah; saya komplain malah suruh tunggu respon 1x24 jam tidak ada balasan.,1
989697076,yaelah emang sirclo busuk banget packingnya; gimana mau dijual lagi ini rusak kardusnya. PARAH BANGET LAH RUSAK DARI DALEM BUBBLE; KALO UDAH ROBEK KENAPA DIKIRIM; NGOTAK LAH DIKIT YANG PACKING,1
